sys41dae,2.61,0.36,0.34,0.27,0.13,0.13
sys732a7,2.61,0.38,0.37,0.29,0.14,0.14
sys08595,2.61,0.33,0.32,0.25,0.12,0.12
sys1aa9c,2.60,0.33,0.32,0.25,0.10,0.10
sys9368a,2.60,0.34,0.33,0.26,0.12,0.12
sys0fb9c,2.58,0.36,0.35,0.27,0.14,0.14
sysf9a64,2.54,0.35,0.34,0.26,0.11,0.11
sysf7bda,2.50,0.36,0.35,0.27,0.13,0.13
sys20bf9,2.50,0.33,0.31,0.24,0.11,0.11
sys5e858,2.49,0.33,0.32,0.25,0.11,0.11
sys9decb,2.49,0.38,0.36,0.28,0.13,0.13
sysc02df,2.48,0.50,0.47,0.37,0.20,0.20
sys24ed5,2.48,0.34,0.33,0.25,0.11,0.11
sys6b49f,2.47,0.36,0.34,0.26,0.12,0.12
sysec647,2.46,0.35,0.33,0.26,0.11,0.11
sys94e9f,2.46,0.38,0.36,0.28,0.14,0.14
syse33d4,2.45,0.35,0.33,0.26,0.14,0.14
sys25816,2.44,0.34,0.32,0.25,0.11,0.11
syscc473,2.43,0.34,0.32,0.25,0.11,0.11
sysc182e,2.41,0.38,0.35,0.27,0.12,0.12
sys2a489,2.41,0.36,0.33,0.26,0.12,0.12
sys4bafa,2.41,0.35,0.33,0.25,0.12,0.12
sysf211e,2.40,0.39,0.37,0.28,0.13,0.13
sys372fe,2.39,0.50,0.46,0.36,0.19,0.19
sys0e098,2.37,0.37,0.34,0.27,0.13,0.13
sysb1913,2.34,0.36,0.33,0.26,0.14,0.14
sys9e6de,2.33,0.36,0.33,0.25,0.13,0.13
sysba29c,2.32,0.34,0.31,0.24,0.12,0.12
sysbc1c2,2.31,0.33,0.31,0.24,0.13,0.13
sysb2a4f,2.31,0.34,0.32,0.25,0.12,0.12
sys429a3,2.29,0.36,0.33,0.26,0.13,0.13
sys2fed0,2.29,0.37,0.34,0.26,0.11,0.11
sys35c79,2.24,0.50,0.44,0.35,0.15,0.15
sys8d3e2,2.20,0.55,0.48,0.39,0.18,0.18
sys520c6,2.15,0.50,0.43,0.34,0.16,0.17
sys174d8,2.14,0.34,0.30,0.23,0.11,0.11
sys50c71,2.13,0.37,0.32,0.25,0.12,0.12
sys19236,2.11,0.34,0.29,0.23,0.11,0.11
sys10495,2.09,0.36,0.31,0.24,0.11,0.11
sys1e139,2.01,0.33,0.28,0.22,0.11,0.11
sysc276f,2.00,0.34,0.29,0.23,0.11,0.11
sys4800c,2.00,0.34,0.28,0.22,0.10,0.10
sys36d71,2.00,0.45,0.37,0.30,0.14,0.15
sys7c5fb,1.97,0.34,0.28,0.22,0.12,0.12
sysc2927,1.93,0.33,0.27,0.21,0.10,0.10
sys46d3a,1.92,0.34,0.28,0.22,0.11,0.11
sys29328,1.90,0.50,0.39,0.31,0.16,0.16
sysa0656,1.90,0.48,0.38,0.30,0.15,0.15
sys8e5c5,1.90,0.34,0.27,0.21,0.11,0.11
sysea497,1.88,0.34,0.27,0.21,0.10,0.10
sysec937,1.88,0.33,0.26,0.21,0.10,0.10
sys64f06,1.86,0.33,0.26,0.21,0.11,0.11
syscfed8,1.85,0.35,0.27,0.22,0.11,0.11
sysa7a61,1.84,0.34,0.27,0.21,0.11,0.11
sysd2e72,1.81,0.36,0.27,0.22,0.10,0.10
sysd525d,1.81,0.36,0.27,0.22,0.09,0.09
sys6629f,1.78,0.37,0.28,0.22,0.12,0.12
syse1ff7,1.73,0.36,0.26,0.21,0.11,0.11
sys38b22,1.73,0.35,0.26,0.20,0.11,0.11
sysb634f,1.72,0.36,0.26,0.21,0.11,0.11
sys50bf1,1.58,0.47,0.30,0.25,0.13,0.14
sys9f572,1.51,0.36,0.23,0.18,0.09,0.09
sysc382e,1.45,0.48,0.27,0.22,0.12,0.13
sys9525c,1.44,0.51,0.28,0.24,0.13,0.13
sys2863f,1.36,0.33,0.17,0.14,0.08,0.08
sysf53fb,1.29,0.34,0.16,0.13,0.08,0.08
sys66a81,1.24,0.33,0.14,0.12,0.07,0.07
